Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
460,9981,Valery Road 02,BSC,Rural,Local,20,Sealed,1960,2200,Raleigh,240,3.6,864,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 03,BSC,Rural,Local,20,Sealed,2200,2280,Raleigh,80,3.6,288,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 04,BSC,Rural,Local,20,Sealed,2280,2400,Raleigh,120,3.6,432,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 05,BSC,Rural,Local,20,Sealed,2400,2520,Raleigh,120,3.6,432,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 06,BSC,Rural,Local,20,Sealed,2520,3370,Raleigh,850,3.6,3060,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 07,BSC,Rural,Local,20,Unsealed,3370,5990,Raleigh,2620,3.6,9432,4,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 08,BSC,Rural,Local,20,Sealed,5990,6430,Raleigh,440,3.6,1584,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 09,BSC,Rural,Local,20,Sealed,6430,8080,Raleigh,1650,3.6,5940,1,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 10,BSC,Rural,Local,20,Unsealed,8080,10150,Raleigh,2070,3.6,7452,5,2019,,487,9981,100335,Mutiple Chainage
460,9981,Valery Road 11,BSC,Rural,Local,20,Sealed,10150,11200.8,Raleigh,1050.8,3.6,3782.88,1,2019,,487,9981,100335,Mutiple Chainage
470,14626,Valla - Off Ramp North,RMS - Other,Rural,Local,N/A,Sealed,0,320.002238,Valla,320.002238,,0,,#N/A,,361,14626,100473,Mutiple Chainage
468,14626,Valla - Off Ramp South,RMS - Other,Rural,Local,N/A,Sealed,0,401.3965457,Urunga,401.3965457,,0,,#N/A,,361,14626,100473,Mutiple Chainage
469,14626,Valla - On Ramp North,RMS - Other,Rural,Local,N/A,Sealed,0,385.4701457,Urunga,385.4701457,,0,,#N/A,,361,14626,100473,Mutiple Chainage
471,14626,Valla - On Ramp South,RMS - Other,Rural,Local,N/A,Sealed,0,330.5625992,Valla,330.5625992,,0,,#N/A,,361,14626,100473,Mutiple Chainage
108,9988,Vine Street,BSC,Urban,Local,12,Sealed,0,165,Dorrigo,165,4.4,726,3,1987,,535,9988,100340,Mutiple Chainage
108,9988,Vine Street,BSC,Urban,Regional,12,Sealed,165,773.1478385,Dorrigo,608.1478385,6.3,3831.331383,2,1987,,535,9988,100340,Mutiple Chainage
383,9989,Walter Street,BSC,Urban,Local,68,Sealed,0,28.11,Raleigh,28.11,3.7,104.007,5,2009,,255,9989,100341,Mutiple Chainage
1366,9989,Walter Street - 01,BSC,Urban,Local,110,Sealed,0,34.4,Raleigh,34.4,3.7,127.28,1,2009,,255,9989,100341,Mutiple Chainage
383,9989,Walter Street 02 01,BSC,Urban,Local,69,Sealed,0,330,Raleigh,330,3.7,1221,1,2009,,255,9989,100341,Mutiple Chainage
383,9989,Walter Street 02 02,BSC,Urban,Local,69,Sealed,330,654,Raleigh,324,3.7,1198.8,3,2009,,255,9989,100341,Mutiple Chainage
22,9991,Waterfall Way,RMS,Rural,Local,N/A,Sealed,0,11079.31496,Raleigh,11079.31496,,0,,1900,,257,9991,100344,Mutiple Chainage
96,9991,Waterfall Way,RMS,Rural,Local,N/A,Sealed,0,294.5098043,Raleigh,294.5098043,,0,,1900,,257,9991,100344,Mutiple Chainage
98,9991,Waterfall Way,RMS,Rural,Local,N/A,Sealed,0,29180.2371,Dorrigo,29180.2371,,0,,1900,,257,9991,100344,Mutiple Chainage
